Sl. No.,smiles,Yield,product
Yu_7_1_1,O=C(N(C1=CC=CC=C1C#N)C2=C(C#N)C=CC=C2)CCC3=CC=CC=C3.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].OC(CNC(C)=O)=O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,37,O=C(N(C1=CC=CC=C1C#N)C2=C(C#N)C=CC=C2)CCC3=CC=CC(/C=C/C(OCC)=O)=C3
Li_1_22,O=C(C1=C(C#N)C=CC=C1)N(C)CCC2=CC(C)=CC=C2.C=CC1=C(F)C(F)=C(F)C(F)=C1F.CC(O[Pd]OC(C)=O)=O.CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F.ClCCCl,90,O=C(C1=C(C#N)C=CC=C1)N(C)CCC2=CC(C)=CC(/C=C/C3=C(F)C(F)=C(F)C(F)=C3F)=C2
D_7_29,O=S(CC1=C(F)C=CC=C1F)(OC2=C(C#N)C=CC=C2)=O.CC(OI(OC(C)=O)C1=CC=CC=C1)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].C[C@H](NC(=O)OC(C)(C)C)C(O)=O.OC(C(F)(F)F)C(F)(F)F,51,O=S(CC1=C(F)C=CC(OC(C)=O)=C1F)(OC2=C(C#N)C=CC=C2)=O
Yu_4_16,O=C(C(F)OC1=C(C#N)C=CC=C1)N(C)C2=C(Br)C(C)=CC=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,56,O=C(C(F)OC1=C(C#N)C=CC=C1)N(C)C2=C(Br)C(C)=CC(/C=C/C(OCC)=O)=C2
D_7_1,O=S(CC1=CC=CC=C1)(OC2=C(C#N)C=CC=C2)=O.FC(F)(F)C(=O)O[I](OC(=O)C(F)(F)F)c1ccccc1.CC(=O)[O-].CC(=O)[O-].[Pd+2].C(C(=O)O)NC=O.OC(C(F)(F)F)C(F)(F)F,74,O=S(CC1=CC=CC(O)=C1)(OC2=C(C#N)C=CC=C2)=O
D_5_3,O=S(CCC1=CC=CC=C1)(OC2=C(C#N)C=CC=C2)=O.C=CP(OCC)(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].C(C(=O)O)NC=O.CC(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,55,O=S(CCC1=CC=CC=C1)(OC2=C(C#N)C=C(/C=C/P(OCC)(OCC)=O)C=C2)=O
D_1_22,O=P(OC1=C(C#N)C=CC=C1)(OCC)CC2=CC(C)=CC=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(N[C@H](C(O)=O)CC1=CC=CC=C1)=O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,80,O=P(OC1=C(C#N)C=CC=C1)(OCC)CC2=CC(C)=CC(/C=C/C(OCC)=O)=C2
Li_3_8,O=C(N(C1=CC=CC(F)=C1C(O)=O)C)CCC2=C(C)C(C)=CC=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].O=C(O)C(NC(=O)C)CC=1C=CC=CC1.CC(C)(C)C(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,56,O=C(N(C1=CC=CC(F)=C1C(O)=O)C)CCC2=C(C)C(C)=CC(/C=C/C(OCC)=O)=C2
D_3_30,O=S(CC1=CC=CC=C1)(OC2=C(C#N)C=CC(OC)=C2)=O.C=CS(=O)(C)=O.Cl[Rh].Cl[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2.CC(C1=C(C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2)C(C(C)C)=CC(C(C)C)=C1)C.O.FC(F)(F)C(=O)O[Cu]OC(=O)C(F)(F)F.O=[V](=O)O[V](=O)=O.ClCCCl,51,O=S(CC1=CC=CC(/C=C/S(=O)(C)=O)=C1)(OC2=C(C#N)C=CC(OC)=C2)=O
Yu_4_43,O=C(C(F)OC1=CC=CC=C1)N(CCC2)C3=C2C(C)=CC=C3.CC(=O)OC(=O)C.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.O=C(OI(OC(C)=O)C1=CC=CC=C1)C.OC(C(F)(F)F)C(F)(F)F,71,O=C(C(F)OC1=CC=CC=C1)N(CCC2)C3=C2C(C)=CC(/C=C/C(OCC)=O)=C3
D_3_13,O=S(CC1=CC(OC(C)=O)=CC=C1)(OC2=C(C=CC(OC)=C2)C#N)=O.C=CC(OCC)=O.Cl[Rh].Cl[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2.CC(C1=C(C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2)C(C(C)C)=CC(C(C)C)=C1)C.Cl[Cu]Cl.O=[V](=O)O[V](=O)=O.ClCCCl,59,O=S(CC1=CC(OC(C)=O)=CC(/C=C/C(OCC)=O)=C1)(OC2=C(C#N)C=CC(OC)=C2)=O
Yu_6_21,O=C(N(C1=CC(OC)=CC=C1C#N)C2=C(C#N)C=CC(OC)=C2)CCC3=C(C)C=CC=C3.FC(C1=CC=C(B2OC(C)(C)C(C)(C)O2)C=C1)(F)F.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.F[P-](F)(F)(F)(F)F.CCCC[N+](CCCC)(CCCC)CCCC.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,60,O=C(N(C1=CC(OC)=CC=C1C#N)C2=C(C#N)C=CC(OC)=C2)CCC3=C(C)C=CC(C4=CC=C(C(F)(F)F)C=C4)=C3
D_3_25,O=S(CC1=CC=CC=C1)(OC2=C(C#N)C=CC(OC)=C2)=O.C=CC(OC1=CC=C(C=CC=C2)C2=C1)=O.Cl[Rh].Cl[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2.CC(C1=C(C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2)C(C(C)C)=CC(C(C)C)=C1)C.O.FC(F)(F)C(=O)O[Cu]OC(=O)C(F)(F)F.O=[V](=O)O[V](=O)=O.ClCCCl,56,O=S(CC1=CC=CC(/C=C/C(OCC2=CC=C(C=CC=C3)C3=C2)=O)=C1)(OC4=C(C#N)C=CC(OC)=C4)=O
Yu_3_17,O=C(N(C1=C(C#N)C=CC=C1)C2=CC=CC=C2C#N)CC3=CC(C)=CC=C3.C=CC(N(C)C)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].O=CNCC(O)=O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,68,O=C(N(C1=C(C#N)C=CC=C1)C2=CC=CC=C2C#N)CC3=CC(C)=CC(/C=C/C(N(C)C)=O)=C3
D_4_2,COC(C=C1)=CC(C#N)=C1O[Si](CC2=CC=CC=C2)(C(C)C)C(C)C.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].ClCCCl.FC(F)(F)CO,84,CC([Si](CC1=CC=CC(/C=C/C(OCC)=O)=C1)(OC2=C(C#N)C=C(OC)C=C2)C(C)C)C
Yu_7_17,CC(C(C=C1C(C)(C)C)=CC(C(CC(C)C)(CC(C)C)C#N)=C1OCC2=CC(C)=CC=C2)(C)C.C=CC(OCC1=CC=CC=C1)=O.CC(C)(C)C(=O)[O-].CC(C)(C)C(=O)[O-].[Pd+2].O=C([O-])C(C)(C)C.[Ag+].ClCCCl,73,CC(C(C=C1C(C)(C)C)=CC(C(CC(C)C)(CC(C)C)C#N)=C1OCC2=CC(C)=CC(/C=C/C(OCC3=CC=CC=C3)=O)=C2)(C)C
D_7_10,O=S(CC1=CC(OC)=CC=C1Br)(OC2=C(C#N)C=CC=C2)=O.FC(F)(F)C(=O)O[I](OC(=O)C(F)(F)F)c1ccccc1.CC(=O)[O-].CC(=O)[O-].[Pd+2].C(C(=O)O)NC=O.OC(C(F)(F)F)C(F)(F)F,58,O=S(CC1=CC(OC)=CC(O)=C1Br)(OC2=C(C#N)C=CC=C2)=O
Yu_5_15,O=C(N(C)CCOC1=C(C#N)C=CC=C1)C2=CC(C)=CC=C2.C=CC(OC1=CC=CC=C1)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].O=C(O)[C@H](C(C)C)NC(C)=O.CC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+].CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,89,O=C(N(C)CCOC1=C(C#N)C=CC=C1)C2=CC(C)=CC(/C=C/C(OC3=CC=CC=C3)=O)=C2
Li_2_27,O=C(N(S(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)CCC2=C(C#N)C=CC=C2)C3=CC(C)=CC=C3.O=C(/C=C\C)OCC.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].CC(=O)[O-].[Cu+2].OC(C(F)(F)F)C(F)(F)F,60,O=C(N(S(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)CCC2=C(C#N)C=CC=C2)C3=CC(C)=CC(/C(C)=C/C(OCC)=O)=C3
Yu_9_32,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2[C@@](CCCC3)([H])[C@@]3(C)C4=C2C=C([H])C=C4)=O.C=CC1=CC=C(C(OC)=O)C=C1.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,48,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2[C@@](CCCC3)([H])[C@@]3(C)C4=C2C=C(/C=C/C5=CC=C(C(OC)=O)C=C5)C=C4)=O
Yu_3_18,O=C(N(C1=C(C#N)C=CC=C1)C2=CC=CC=C2C#N)CC3=CC(C)=CC=C3.C=CP(OCC)(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].O=CNCC(O)=O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,65,O=C(N(C1=C(C#N)C=CC=C1)C2=CC=CC=C2C#N)CC3=CC(C)=CC(/C=C/P(OCC)(OCC)=O)=C3
D_5_12,O=S(CCC1=CC(Br)=CC=C1)(OC2=C(C#N)C=CC=C2)=O.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].C(C(=O)O)NC=O.CC(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,56,O=S(CCC1=CC(Br)=CC=C1)(OC2=C(C#N)C=C(/C=C/C(OCC)=O)C=C2)=O
D_3_15,O=S(CC1=CC=C(F)C=C1)(OC2=C(C#N)C=CC(OC)=C2)=O.C=CC(OCC)=O.Cl[Rh].Cl[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2.CC(C1=C(C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2)C(C(C)C)=CC(C(C)C)=C1)C.Cl[Cu]Cl.O=[V](=O)O[V](=O)=O.ClCCCl,61,O=S(CC1=CC=C(F)C(/C=C/C(OCC)=O)=C1)(OC2=C(C#N)C=CC(OC)=C2)=O
Yu_1_25,O=C(N(C1=CC=CC=C1C#N)C2=CC=CC=C2C#N)C(C)(C)OC3=C(C)C=CC=C3.C=CC1=C(Cl)C=CC=C1Cl.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,48,O=C(N(C1=CC=CC=C1C#N)C2=CC=CC=C2C#N)C(C)(C)OC3=C(C)C=CC(/C=C/C4=C(Cl)C=CC=C4Cl)=C3
Li_1_19,O=C(C1=C(C#N)C=CC=C1)N(C)CCC2=CC(C)=CC=C2.C=CP(OCC)(OCC)=O.CC(O[Pd]OC(C)=O)=O.CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F.ClCCCl,70,O=C(C1=C(C#N)C=CC=C1)N(C)CCC2=CC(C)=CC(/C=C/P(OCC)(OCC)=O)=C2
Yu_4_1,CN(C(C(F)OC1=C(C#N)C=CC=C1)=O)C2=CC=CC=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,88,O=C(C(F)OC1=C(C#N)C=CC=C1)N(C)C2=CC=CC(/C=C/C(OCC)=O)=C2
Yu_4_4,O=C(C(F)OC1=C(C#N)C=CC=C1)N(C)C2=CC(F)=CC=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,84,O=C(C(F)OC1=C(C#N)C=CC=C1)N(C)C2=CC(F)=CC(/C=C/C(OCC)=O)=C2
D_2_26,O=S(CC1=CC=C(C)C=C1)(OC2=C(C#N)C=CC=C2)=O.C=CC(OC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F.ClCCCl,63,O=S(CC1=CC=C(C)C(/C=C/C(OC)=O)=C1)(OC2=C(C#N)C=CC=C2)=O
